"","V1"
"1",Baltimore
"2",Seattle
"3",Kissimmee
"4",New York City
"5",Indianapolis
"6",San Diego
"7",Lahaina
"8",Las Vegas
"9",Memphis
"10",Philadelphia
"11",Miami
"12",Champaign
"13",Chicago
"14",Phoenix
"15",Los Angeles
"16",New Orleans
"17",Ocean City
"18",Dallas
"19",Orlando
"20",Daytona Beach
"21",Paia
"22",Boston
"23",Wailea
"24",Kihei
"25",Makena
"26",Kapalua
"27",Rutherford
"28",Calistoga
"29",St. Helena
"30",Yountville
"31",San Francisco
"32",Makawao
"33",Napa
"34",Hauula
"35",Hana
"36",Honolulu
"37",Ka'anapali
"38",Branson West
"39",Kapolei
"40",Kahului
"41",Hollister
"42",Kahuku
"43",Kaneohe
